Year,Spec,X,Y,FirstFound,AgeFound,Exposure,Fate,InitBHCO,Clutch,InitClutch
2023,CCSP,464451,5176829,7/12/2023,6,8,Failed,0,2,2
2023,MODO,464321,5176101,6/26/2023,2,7,Failed,0,2,2
2023,STGR,464411,5175937,6/25/2023,-5,14,Failed,0,8,3
2023,CCSP,464175,5176069,7/6/2023,6,4,Failed,2,2,2
2023,CCSP,464323,5176362,7/11/2023,7,6,Failed,3,2,2
2023,WEME,464417,5177216,6/29/2023,2,7,Failed,0,3,4
2023,NOPI,465222,5176338,6/26/2023,5,20,Survive,0,7,7
2023,AMCO,465472,5176977,5/23/2023,-2,10,Failed,0,9,7
2023,CCSP,464439,5176323,7/11/2023,-3,20,Failed,0,3,1
2023,CCSP,464175,5176225,7/11/2023,-1,20,Survive,0,4,3
2023,RWBL,465235,5176854,5/22/2023,-5,18,Failed,0,5,0
2023,CCSP,464939,5176977,7/13/2023,3,15,Failed,1,3,3
2023,CCSP,464400,5176492,7/11/2023,1,20,Failed,3,2,2
2023,AMCO,464934,5177188,6/9/2023,-1,22,Survive,0,5,4
2023,AMBI,464940,5176635,6/12/2023,NA,18,Failed,0,5,NA
2023,CCSP,465658,5176089,6/19/2023,19,1,Failed,0,2,2
2023,CCSP,464922,5176164,5/31/2023,3,1,Failed,0,3,3
2023,RWBL,465738,5177037,5/23/2023,-4,17,Failed,0,3,0
2023,BWTE,465211,5176385,5/24/2023,-4,8,Failed,0,11,7
2023,CCSP,464537,5177088,6/29/2023,4,4,Failed,0,3,3
2023,CCSP,464180,5176940,6/28/2023,0,14,Failed,2,1,1
2023,SORA,464710,5176563,7/6/2023,NA,8,Survive,0,8,8
2023,CCSP,465689,5175690,7/8/2023,15,3,Survive,1,2,2
2023,CCSP,464823,5175778,5/31/2023,10,10,Failed,2,2,2
2023,CCLO,465622,5175773,5/29/2023,9,14,Failed,0,3,3
2023,CCSP,465014,5176399,6/1/2023,6,8,Failed,1,3,3
2023,BWTE,464533,5175869,5/22/2023,2,4,Failed,0,10,10
2023,CCLO,465517,5175683,6/20/2023,6,15,Survive,0,5,6
2023,CCSP,464381,5175739,6/25/2023,7,8,Failed,3,2,2
2023,GADW,464815,5176933,6/12/2023,-3,24,Survive,0,7,4
2023,CCSP,465358,5175725,6/20/2023,5,15,Survive,1,2,3
2023,KILL,464920,5176232,6/21/2023,NA,15,Survive,0,4,4
2023,LESC,465295,5176436,6/15/2023,7,20,Survive,0,7,7
2023,RWBL,465562,5176959,6/14/2023,6,4,Failed,1,3,3
2023,RWBL,465693,5177006,6/14/2023,0,12,Failed,1,1,1
2023,RWBL,465194,5176803,6/18/2023,6,17,Survive,3,1,2
2023,CCSP,464809,5175729,6/23/2023,8,13,Survive,1,4,4
2023,GADW,465538,5177156,6/14/2023,3,6,Failed,0,7,7
2023,YHBL,464744,5176580,6/9/2023,-4,16,Failed,0,2,0
2023,YHBL,464728,5176608,6/9/2023,5,19,Survive,0,2,4
2023,RWBL,464830,5176395,6/6/2023,3,7,Failed,7,1,1
2023,BWTE,464729,5175895,5/31/2023,-1,4,Failed,0,9,8
2023,GADW,465119,5176362,6/16/2023,19,2,Failed,0,9,9
2023,MALL,465632,5176252,5/25/2023,-1,19,Failed,0,7,6
2023,CCSP,464612,5177206,6/30/2023,5,14,Failed,0,1,4
2023,RWBL,464736,5176906,6/19/2023,-4,6,Failed,0,1,0
2023,CCSP,464352,5175808,6/25/2023,3,3,Failed,0,4,4
2023,CCSP,465430,5175691,6/20/2023,2,9,Failed,1,1,2
2023,NOPI,464941,5176678,6/30/2023,12,12,Survive,0,3,4
2023,YHBL,464673,5176622,6/9/2023,2,10,Failed,2,2,2
2023,RWBL,464178,5176633,6/27/2023,10,6,Failed,3,3,3
2023,GADW,464222,5177103,6/9/2023,-2,27,Survive,0,8,6
2023,MODO,464304,5176429,6/10/2023,2,6,Failed,0,2,2
2023,CCSP,464330,5175883,6/5/2023,7,14,Survive,0,2,4
2023,BRBL,464982,5175988,6/27/2023,-2,11,Failed,0,3,1
